pm,src,dst
4935,21702889,301832535
4938,1451327706,1963483607
4939,22557828,1356384412
4941,22567486,361000719
4942,22573024,1226184480
4943,27552864,361000720
4944,22594276,22568579
4945,1963483613,1963483611
4946,316228890,1174618446
4947,22565590,22565126
3571,306097673,22565126
4948,301832535,1425500660
4949,301832535,1425500660
4950,22550411,22550946
4951,22551009,598148720
4952,4057434154,22557680
4953,301832525,301831953
3405,22551163,22557655
4956,306098615,306098712
4957,316250293,8766490774
7006,259652534,316250313
7005,259652534,316250305
9879,301835446,301832685
9878,1981914415,3413823383
9985,316232199,316232479
10495,22545663,306162820
10496,306162797,1200406771
10497,306162815,1838624628
10797,1835450819,2094130753
10798,316232193,2094130753
6829,22551247,22551268
4955,1226184798,1226184480
4925,301835077,1329856694
4928,264911193,22544051
4960,1245968778,2013850211
4924,22550411,1200406661
6828,598148720,22551009
3404,259645634,306098569
3768,306098618,1200406753
4958,3413823391,301832685
4959,301832683,301835038
4940,22567319,22567424
4954,1226184726,259648835
6824,22594276,22568579
10403,1876194960,1981781071
10401,1981781057,1981781071
10402,1981781068,1981781071
3480,27552866,306038061
4962,316215236,306094674
4963,2118131478,306038068
4965,1356384453,27552960
4967,850910710,275225442
4968,27553011,27553000
4971,27553045,248796132
3420,318946713,175426329
4972,27553242,248842400
4973,248842401,6433898321
4974,1354800734,921847604
4975,175426330,175432055
4976,316015142,175430474
4977,258550140,306197215
4979,248796133,27553033
4980,316015142,175430474
4981,175426332,6433898331
4982,175430474,306165542
4983,306165768,318945835
4984,315894600,306165852
4985,306038067,1356384476
4986,1356384427,2118131478
4987,275226171,27553017
4989,258550138,305978624
3406,306031815,1399790425
4994,306032818,306032771
4995,4078126881,306032771
4996,306032799,306032801
4997,306032801,306032799
3630,305971912,305971931
3631,306031575,2479685272
3632,306028643,1711318791
4998,1391494934,789385145
4999,2266123658,1391494937
3446,306094639,316213499
5000,306094639,316213499
10488,306032747,306032836
10489,306031635,306031634
10487,306032667,306032728
4993,3471360133,3471360148
4961,305974370,27552866
4964,1356384427,2118131478
10092,27552973,27552955
4966,275225439,27552969
4969,27553017,315895442
4970,27553027,316015171
4978,306151215,305974815
3445,314764663,296538722
4992,316213499,316213513
3527,306165852,306165769
4988,258550138,305978624
3643,1376906702,262355838
5870,258614647,2484872383
5871,41865321,41867702
5872,2042423379,25693388
5873,41865310,2678931611
5874,1015617973,1015617967
5875,25693475,41845006
5876,77852643,25693479
5877,25693436,25920292
5878,258361897,2485082425
5879,254459987,781491112
10027,25693413,366237925
5881,26209509,26230715
5882,603066837,258613602
5883,390958490,31488956
5884,25920604,8479318807
5885,25920581,642051838
5886,1115934635,25920581
10134,25920271,2504331657
5888,25920269,25920289
5889,4633714092,2614536100
5890,2614536108,25920540
5891,26229682,2614536100
5892,25587635,390063305
5893,135822949,155376803
5894,1695973883,25693466
5895,25693464,258369440
5896,388039880,258369438
5897,388039880,258369438
5898,1695973883,388041245
5899,4309734590,77875829
5900,77851785,77851786
10055,264987966,259007809
10051,254459919,255957222
10053,254461785,4428196223
10052,258368983,255956996
10054,390056895,255956991
10277,339984167,77855681
10276,25693394,25693447
10278,339984375,339984355
10279,2479595177,339984375
10280,1849057052,31488957
3713,60336185,25693464
10281,25693436,25920292
10295,258361897,2485082425
10296,2485082425,77852640
10640,258369500,258369433
10643,258368392,2703923268
10642,254462151,258359750
10641,258369399,258369400
10644,4633759499,258368392
10664,3985023381,254460722
10663,254494376,1696037374
10665,258367947,254461406
10666,255956997,388331630
10667,254495622,3631502285
10668,254461787,254495746
10072,258368983,255956996
10073,264987966,259007809
10075,4428196223,255956985
10074,390056895,255956991
10070,254459919,255957222
3714,2485082425,240000436
5906,258361897,258361819
5887,25920269,25920289
5903,1379337282,258585377
5901,258357597,77852630
5902,390958490,1846286778
5904,26209501,26209498
5905,26209494,26209480
3712,2484872374,258584594
4773,252796105,2319006774
10612,2642477847,2642477853
4774,305972915,306032389
4775,306033079,306033053
10609,849977246,22579847
4777,252798393,252798392
4776,305971951,306032499
4781,305971951,306032499
4807,258548472,258548548
10610,8430225832,8807273562
4780,2688416563,1245571024
4804,26205249,26205181
4805,26205291,26205264
4806,26415180,1898455102
10582,252796105,2319006774
3479,280296269,252796105
3517,306033081,305972357
10611,8430225832,8807273562
10056,306030213,305972357
3572,21776845,260122823
5037,302000362,35494663
5038,302000362,35481045
5039,35486515,35486514
5040,302000362,35494663
5041,1399790211,301999879
5042,1399790211,301999879
5043,301999872,430545316
5044,21715873,301999816
5045,301890950,301891614
5046,301999703,301999740
5047,301884933,301890885
5048,301884847,260122823
5049,260122823,301884847
5050,260122823,301832225
5051,301832225,260122823
3684,1200406851,301832261
5052,301832261,1200406851
5053,21715864,1208086325
5054,301884933,301890885
5055,301884830,5952713335
5056,430545316,301999863
5058,21715877,35484169
5059,301999803,1399790189
3685,21715873,850910694
3686,21715873,1102750782
5060,762004608,301890906
5245,1200406835,1200406685
5246,260122965,21715864
5247,316422629,430545316
5061,850910694,21715873
10025,21715873,1102750782
10282,301884933,301890885
5036,260122823,301832225
3447,302000363,302000362
5255,301891881,279108027
5063,301891545,279108027
5064,301891562,301999690
5065,301891481,301891562
10575,279108027,301891881
5067,1399790303,1399790354
5068,1399790239,301884547
5069,22575103,22578545
5070,301891611,301891359
5071,301891681,301891562
5075,301891562,301891639
5076,301891562,301891639
3655,316422930,301891639
5077,301891636,2217182650
5078,301891641,306034082
5079,301891681,1399790324
5083,301891541,1399790239
5084,2661601562,252796120
5085,821458613,2501508749
3742,2501508776,4575653580
5087,255243047,306033762
5088,306033754,306033762
5089,1399790443,301891481
5090,2576298012,252796117
5091,252796116,301891544
10576,301891545,279108027
10577,301999690,301891562
10578,301891481,301891562
10579,1399790303,1399790502
3574,301891183,301891184
10580,1399790502,306033790
10581,22575103,22578545
3634,255243047,306033762
10257,306034072,316422981
10256,306034076,301891641
10250,1399790502,306033790
10251,316422336,8482284258
10614,1399790122,306033788
10613,306033788,306033978
10615,306033788,306034081
10637,301891633,301891631
10638,2217182658,301891633
10617,301891631,301999864
10618,301891887,301891631
10616,301999867,301999864
3635,22575103,22578545
10332,2661601562,252796120
5093,301891631,301891881
3687,301891844,2477560613
3573,301891184,1399790432
3633,821458589,306038915
5094,2642477850,306034673
5098,306041683,301999963
3551,950758088,950758020
5101,21776034,21776036
5102,21776032,21776034
5105,1102750782,21715873
5108,1629096210,21776665
5110,21776066,21775985
5115,1102750780,1102750776
5118,302000068,301885044
5119,21776836,21776666
5120,1097356883,21776843
5121,21776845,260122823
5122,1097356883,1097356900
3481,302721632,21776844
5123,21787373,21787390
5124,21787373,21787380
10358,21788162,21759739
5132,22559770,301681888
5133,301681888,301884511
5134,301681888,1399790177
5135,301999436,301884760
5136,279107996,279107999
5137,301891681,279107996
5138,301891681,1399790324
5139,301891681,301891562
5140,301884745,301884748
5141,279108019,1399790408
5144,301884352,1399790484
5145,279108020,301999482
5146,301999484,6371976143
5147,301884369,279108011
5148,279108011,301884369
3769,301884780,279108008
5092,2576298058,2082515955
10510,2576298006,2510351729
10507,2835513205,301884742
10508,2835513205,301884742
10509,301884748,301884745
10506,2835513216,301884773
10505,301884774,301884773
10504,2576298080,301884771
10502,301884773,301884535
10503,301884531,301884535
10500,301884535,1356384599
10501,2835513214,301884533
6959,4676941673,258600535
6960,258600321,258600272
6961,258600214,387768487
9998,41867729,2446362256
9996,258609577,25693380
9997,258609576,258609620
9995,258608859,2503364902
10067,1127671171,258369068
10069,258600314,258368993
10068,258594356,258368637
10230,41867727,41867729
10229,339996582,25693381
10235,42361072,41867726
10232,25693445,25693393
10326,1127671239,1127671281
10328,1127671334,1127671239
10330,1127671290,1127671228
10329,1127671239,1127671228
10310,1127671337,1127671072
10309,1127671267,258368990
10331,1127671228,1127671290
10319,1127671247,1127671186
10313,1127671152,1127671072
10311,1127671072,1127671337
10312,1127671114,1127671072
10315,1127670951,1127671152
10314,1127671152,1127671072
10316,1127671023,1127671152
10325,1127671281,1127671038
10327,1127671157,1127671281
10324,1127671038,1127671281
10323,1127671321,1127671069
10322,1127671351,1127671228
10321,1127671265,1127671351
10317,1127671359,1127671211
10318,1127671247,1127671186
10320,1127671069,1127671321
10405,1127670951,1127671116
10404,1127670951,1127671152
10406,1127671134,1127670951
10536,1127671359,1127671211
10534,1127671234,1127671192
10535,1127671085,1127671116
10532,1127671234,1127671192
10533,1127671235,258600269
10531,1127671043,1127671128
3814,857156962,2869473314
3680,2869473314,2869473311
6547,4676317959,259062336
9999,1453181613,258608007
10231,25693381,51146332
6545,258608858,2957229099
6546,258608858,2957230689
3813,258608858,3459779123
10234,258621497,41867726
10233,43494608,25693393
10537,1127670951,1127671116
6559,354933099,31462950
6560,31462817,31462819
6561,31462952,3894944071
6562,76475121,2421410415
6563,76475118,76475116
6564,2068844571,76475097
6565,76475093,355160060
6566,76475096,76475095
6567,76475107,76475110
6568,76475116,4600518415
6569,76476067,31462952
3788,76475093,355160060
6570,2421410432,77851775
6571,79301697,77875838
6572,77875839,77875841
6573,76747227,76747228
6575,76475093,262348438
6955,3007225547,264857139
6574,77851778,77851782
6956,3007225547,264857139
3723,76474971,359501103
6954,264986734,1046902677
10197,76752277,76754094
10291,77851776,77851778
10294,4498204033,79301697
10333,264986731,807697537
10335,4826759615,264986731
10334,264986721,268020400
10336,2481824784,264991357
10293,79300651,79298873
10292,79298872,79298873
7110,1046902677,1046902979
6578,77836465,77836466
6579,77917056,77851776
6580,77835951,2421410432
3787,77851023,602184962
6953,76727281,76727282
6962,319210298,272435039
6582,272435039,272435041
6583,268019296,272435039
6963,264979496,319210361
6965,264979538,272435008
6966,264987457,264979538
3789,31879473,355539623
6964,355539590,355539623
9861,264979496,264987456
9862,264987456,264987455
9858,272435031,264987457
9859,319210363,264987455
6970,2815482867,264987454
9860,264987454,264987457
10028,254463575,3430519979
5880,2489189068,254463575
10029,254463575,254463577
10376,264980559,268019319
10337,264991357,264989142
10363,319210064,272435031
10364,272435031,272435033
10365,272435031,272435008
10377,264980559,268019348
10378,264980559,268019348
10381,264980559,264987962
10382,264980559,264987962
10383,264980559,268019296
10384,264980559,268019296
10366,264980177,299938088
10367,264980177,1828866446
10368,264980177,1828866446
10369,1828866378,1828866437
10371,265657565,264980177
10370,264980177,265657565
10374,319210064,319210062
10375,319210064,319210062
10372,2570786188,1828866444
10373,1828866444,2570786188
10413,264987454,272435033
10414,264980593,272435033
10412,272435033,272435031
10441,264987456,319210362
10442,319210362,319210363
10443,319210362,319210361
10415,307155302,319210376
10417,319210376,264986337
10416,319210376,352943818
10686,272435042,299938088
10420,299938088,264987962
10421,264987962,299938088
10431,1828866400,1828866441
10432,1828866400,272435030
10433,3430519989,1828866400
10434,265615705,1828866400
10423,264980177,299938088
10583,307155302,319210376
10584,319210363,264987455
10691,264987454,272435033
10419,272435042,299938088
10688,21702461,21702466
10689,272435031,264987457
10690,264987456,319210362
10687,1828866400,1828866441
10692,319210298,272435039
10799,319210362,352943818
10800,319210376,352943818
10801,352943819,352943818
10030,254463575,3430519979
10136,256581824,2248941018
3530,259587929,257927349
6591,259587927,257927349
10188,256581835,254531925
10189,3680754520,260623175
10190,259615488,3882630912
10191,3882630913,4711987911
10215,256523058,255961324
10214,854656945,256523058
10213,255262826,255261904
6596,255265789,255262798
10591,255265789,255262798
6584,7498609234,3007225007
6585,255250703,255023446
6586,352752822,255962281
6587,255023450,255023447
6588,256581797,255023451
6589,262663405,258141928
6590,255962278,259187152
10060,255459806,257716010
10059,258126144,258126444
10058,255262208,257715642
6595,256582162,255262794
3509,257718338,255262896
6597,265666383,257926450
6598,257924749,257926481
3794,259186767,258127282
6599,258127282,310466343
3795,255627453,262661802
10529,256582149,259587868
10566,255456498,3007224934
10563,221310551,239736431
10562,602191903,239736431
10564,3156769597,255456742
10062,258124601,258125756
10061,259588672,257715018
10090,257928176,257926705
10088,258127180,259719960
10091,258127490,259720008
10086,262659699,257924717
10181,257717610,257926450
6594,310454641,255627453
10693,265666383,257926450
10694,255262208,257715642
10359,259588672,257715018
10565,255456742,255456498
10567,255456498,602191435
3700,257717216,257717215
6600,256582149,259587868
10361,257926549,256523119
10360,255961472,256523093
5149,49420299,49409133
3770,49419753,49420141
5151,8079459237,21696595
5152,49409614,914502447
3771,931473078,21696597
5153,931467230,22525043
5154,22525801,265984559
5155,1245968778,21716537
5156,21702239,21702217
10389,33395618,8079459237
10390,33395618,8079459237
10395,306482238,6302155852
10394,7125376349,6302155852
10397,49420271,49964402
10398,49964364,50542698
5169,49420150,49420160
5170,49420160,49420485
5171,49420160,4166362776
5178,21696624,779241439
5180,21702239,21702211
9833,22525043,21702240
6834,1245968778,21716537
10418,21696604,21696596
10392,779241439,779241457
5150,49420141,49420258
5173,306100315,365279734
5160,26085559,308304303
10391,33395618,8079459237
10393,779241492,779241457
10511,265978772,305609657
10804,21777858,21778217
10806,332050824,305609686
5185,21778816,21778832
5186,21778897,21779188
5188,21778908,21778951
5189,4105288682,315522686
5191,4105288682,315523068
5192,21777838,386236190
5193,21780010,386236187
5194,21723907,386236187
5195,21777415,21777564
5196,21777564,21777838
5197,1019392540,1019392425
5198,21779732,21777570
7008,21777415,21777564
10283,1019392540,1019392425
5182,255521018,4105288682
5187,21778832,565691093
5190,1605982512,420890930
5236,1835408781,309694598
5237,316617371,1835385473
5238,23023258,259645649
5239,316617118,259645647
10593,291426437,309892279
10592,316618129,291426437
10594,309892239,316618111
5240,1492770241,371267802
5241,309892202,371274019
5242,23001765,1492770219
5243,1888134666,1888134679
5244,2048507404,2576256087
5248,921690984,1492770242
5249,1492770240,371267242
3688,309892235,6380611014
5250,292650967,309892235
5251,309892235,371278077
5252,259651550,6380611017
5253,292650967,309892235
5254,309892474,316448972
5256,356246128,316449092
5257,316453721,309892533
5258,307996821,425505172
5259,1359251808,308300947
5260,308300941,308300942
5261,1838624646,320828911
5262,309694167,7646639626
5263,309892475,356245951
5264,309694383,309892475
5265,309892475,316448972
10598,1492770240,371267242
10600,2048507404,2576256087
10599,3627202835,371267233
5269,309893095,1836757342
5270,1836757342,1836757338
5271,2613428289,1836757342
10597,2689755148,567221244
10596,316618150,316617941
10589,316618083,309892283
10587,316617371,1835385473
10585,356246128,316449092
10586,316617118,259645647
10588,316617181,1835385471
9941,316618150,316617941
9940,1888134666,1888134679
9942,316618083,309892283
9901,316617181,1835385471
10590,1888134666,1888134679
10595,1888134666,1888134679
10654,316617072,356245575
10655,316617072,356245575
10652,309906638,2689755054
10653,309906638,2689755054
10657,424979609,1874499739
10656,424979608,309892514
5273,2613428289,1836757342
5274,1836757338,1836757342
9849,316617429,309892285
9848,316617181,1835407988
9850,309694664,316617072
9851,316617118,259645647
9852,309892473,309906584
9853,309906638,309906637
5297,316249907,316249908
9978,1835409314,316617561
5298,306163498,316249748
5299,306163502,259645640
5268,306400716,359445780
5272,306098606,259651516
5275,315250615,2689156081
4792,29944812,306033220
5277,315250615,2689156081
4793,306033538,29944819
5279,281814132,2689156081
5280,306156712,369077030
5281,309217490,309215485
5282,1123205447,305976605
5283,3508434605,35494660
5284,306156709,950758028
5285,950758014,265979819
5286,309203338,960705021
5287,315258039,309203338
5288,305976652,947044370
5289,947044370,947044345
5290,305976099,306039829
5291,306039829,306039859
5293,29944814,255242906
5294,306039548,306039488
5295,306156567,1055357738
5296,306156584,305973711
5300,306156574,306156581
5301,306033647,306156567
5302,849978274,849978619
5303,8430225832,8807273562
4790,29944821,306029350
4791,306033166,306033138
4779,2530512540,2529745660
4787,29944746,29944747
4789,5602341015,29944746
3830,306031279,26624253
4786,27554721,306030785
4784,6759758130,6759804786
4795,27554033,27554051
4796,27554033,27554051
4797,306031589,27554659
3556,315887713,1898455268
4798,1898455129,1437056470
4783,315887950,8807410875
10261,29944747,306033138
4799,2529745660,29944824
4788,306029934,29944746
10272,306030785,27554721
10680,21715881,265979819
5292,305976652,3593596422
10262,29944820,29944821
4785,27554719,306030785
5304,306098963,1874567336
5305,307997068,7646687150
5306,1359251822,316419825
5307,307997246,316420066
5308,307997093,4416969042
5309,307997092,309694157
5310,309694161,4416969049
5311,316420065,307997247
5312,4416969073,1838660059
5313,747482604,1838660061
5314,1838660063,316419876
5315,1874564197,310032621
10793,1838660061,747482604
10794,747482604,316421872
5319,316419811,306098987
5320,8804691741,306099229
5321,1284402522,306099036
5322,359430673,1284402522
5317,307187537,1056512008
5323,1056512071,1056631997
5324,308887215,1838660071
5325,306099229,5503805666
5326,306098612,306163090
5327,306098612,1420240666
3749,306162993,306098612
5328,5909841366,5909831946
5329,307997103,306099898
3750,2421410170,1838660073
5330,306159909,306160208
5331,306159909,306160017
5332,308303870,306159910
5333,1617136114,306100114
5334,306100114,308303932
5335,8660787940,306100114
3636,26085764,22525833
5157,26085740,4242233750
5158,306498939,26085573
5159,264910961,26085712
10619,306098612,316249931
10795,747482604,1838660040
10796,747482604,747482570
5316,310031804,316419810
5318,306099036,310031789
5336,130093215,130093428
5337,130093163,762207817
5338,130095990,130095991
5339,27582421,306201134
5340,26280696,26280731
5341,26280731,26280704
5342,26280732,63677699
5343,248845942,4939075475
5344,63679623,318942258
5345,26191219,26082474
5346,26280696,26280704
5347,26082472,26082466
5349,306360587,307716701
5348,2314755143,302051026
5350,2613374674,308545732
5352,2613428273,2613428274
5355,149013586,63688539
7107,21318747,318261914
9935,26080595,26080596
9936,26080595,4961886118
9944,26082466,26080596
9943,4938541595,4938541534
9986,302359354,4914865451
9989,4897390195,318941479
10422,306170685,2613354343
10290,27582427,306158823
9939,4935400450,4935400473
5354,446271162,318262022
5351,318261915,514188315
7108,318261915,514188315
5356,2613374682,306360587
9988,4897390195,318941479
9987,4897390194,4897390192
9990,318941573,3159536235
5385,387631754,338676409
5386,338676400,1363996399
5387,2915883037,595769236
3484,248802421,2915883047
5388,338676391,306172340
5389,381219897,3295045042
3590,2915883225,2915883054
10015,2915883054,306172341
5391,385346963,385346969
5392,2914317902,850582463
5393,248804542,248804540
5394,316021505,306259070
6832,248801933,248801934
5396,248804783,457701522
5398,248849672,248804779
5399,306358958,565506254
5400,306256072,306259476
5401,566325676,1038482875
5402,1038482875,1038482879
5403,3158349799,595769236
10014,316630611,518715168
10016,951728891,338676733
10017,3284029207,951728891
5390,518715168,566338955
3483,1363996399,2915883041
5397,306258910,306259070
6811,3293472356,306256083
5011,315518315,21702049
5010,315521903,315259379
5001,3836190075,26480825
3410,315522686,2005648780
5002,305396604,255520692
5003,255520692,305396604
4547,305396766,305396629
5012,315518315,21702049
5004,305396597,423497494
5018,305399715,423497530
5005,423497490,423497494
3702,305396731,305399713
5035,305399713,305399714
5006,423497486,423497502
7009,305396723,423497486
5019,305396726,305396723
5021,305399713,8002979910
5007,423497504,423497486
5022,423497511,305396778
5023,423497500,423497513
5034,305396802,423497500
10429,315518315,21702049
10430,315518315,21702049
5008,305399746,305399733
5031,305399719,305399731
5024,423497524,423497521
5020,423497492,305397604
5009,566424357,1478929043
5029,305757259,305397533
5016,305396664,357376436
5013,265978747,305396739
5014,364197473,265978740
10428,8002979910,423497511
5015,255522013,255522085
10426,423497513,423497504
5017,305397418,305397415
10425,305396778,305397333
5032,305399745,305399746
5033,305397370,423497498
10424,423497498,423497496
10570,423497530,35487796
10803,8002979910,423497511
3553,305397383,364860563
5030,255522101,265978738
5184,265978759,305397497
5183,305396890,3380588866
10253,301891356,2352895337
10574,301891356,2352895337
10273,21702877,259641862
5112,259641862,21702879
10274,21702875,4679027634
10275,21759761,1629096057
5057,35481175,35481045
3576,301884951,301885049
3628,21759754,21776662
5109,21776670,260122995
5099,21776008,21776021
5100,21776008,21776021
5127,1629095983,21759757
3629,21776661,35915890
5113,259640959,1629095946
5114,301999735,301884967
5106,21776012,21776839
5107,21776019,21776012
5128,259640959,259641868
10254,316422631,850910694
5125,301884963,301884962
5126,301999735,301884962
5131,21759751,21759754
9847,301832192,260122995
5111,301832184,21759756
10573,265977809,265977808
10572,305399711,315519293
10571,305399714,305399715
4906,21702269,7721207886
6830,302687840,1629096459
4903,21759770,21721529
4904,21721529,49894202
4907,49951831,49894137
5166,49964396,50527795
3637,33393087,49964338
5179,33393087,49964338
5165,33393017,50527795
5174,27636878,27637196
3640,27636849,27636814
3641,21696579,539078453
5163,33395595,737217881
5162,22512757,33393211
5175,49399657,22522196
5176,538387218,21696588
9992,33395616,33395618
10224,7125376349,8258170616
10223,7125376349,8258170616
5181,33393087,49964338
10222,2144626923,930153069
5161,538387218,21696588
4918,21701960,1175066654
4920,21701960,3223643005
4919,21701956,1175066654
4921,50533752,6385195038
4894,35915698,255521801
4908,49964383,49894137
3403,49894131,49894137
5168,27637189,27637196
3577,27636849,27636814
5167,27636868,27636814
5164,538387215,538387218
5177,2144626923,930153069
5172,7125376349,8258170616
5783,562767287,247990257
5784,307644487,307644490
5785,306101927,247989766
5786,306101783,316629030
5787,306214249,316629031
5788,316636066,31333151
5789,306212708,306212807
5790,306213128,248069507
5791,2611796015,2611796009
5792,316635838,562778441
3754,306101866,316629162
5793,248069521,248069523
5794,250888668,1312336830
5795,316629565,248068321
3755,1312336825,316629560
5796,1224767716,1224768536
5797,316637557,316637575
5798,1224768424,317587848
5799,1423303769,248137209
5800,248137291,316637594
5801,4159640211,247988094
5802,248143211,248137209
5803,317416590,247989374
5804,2611796013,27509304
5805,31031188,562780562
5806,247989377,816940957
3774,247989377,816940957
5807,816940957,248001482
5808,247989377,248001480
5809,248001480,816940943
5810,816940957,248001482
7027,248069132,316629591
7116,248069132,316629591
5812,30906359,30922256
5813,260288217,248076210
3587,1227962640,1227962641
5814,248135898,344113606
5815,316628212,317418066
5816,248067622,316628212
5817,248137068,317416661
5818,248137292,316628279
5819,1224768559,248137292
5820,248137292,1224768559
5821,306211747,316628343
5822,306211747,316628343
5823,31041871,307644015
5824,1251186173,25944382
5825,25944441,567494408
5826,248076209,248076210
5827,248076210,260288217
5828,343704291,25944437
5829,1251185910,248136435
5831,344114502,1877642172
5832,248137067,248137068
5833,316637594,248137291
5834,316628289,1224768559
5835,1224768559,4089880053
5836,316628354,1027968754
5837,1895873737,814828989
5838,31031187,307644266
5839,316635072,27509518
5840,31031226,31031263
6945,330229420,2123657270
5842,316635714,330229414
5844,31030282,31030235
5846,27509300,31031063
5847,27509304,31031226
5848,1250622561,31333282
3428,562783866,31333277
5849,21318593,31030316
5850,317418066,1877642168
5852,247986752,343701717
5853,260288215,260288217
5854,3299660256,316628271
5855,248135898,1877642172
5856,31041871,317564890
5857,307644015,306211797
5858,317567808,1250622590
5859,307644015,306211797
5860,1224768559,317560955
5841,31030277,330229420
9840,31041867,1250622789
6947,31031063,330234165
6946,316748457,4446733747
10063,298014193,2465295969
10064,317566136,2465294654
5864,316637792,31031187
5865,316635714,1278336534
5867,1222159129,307643538
5868,248136469,1877642169
5869,248074301,1877642168
9856,25944384,248915387
5907,101013605,25531157
